title,author,blurb,isbn,call_number,cover_filename
The New Atheism,Victor J. Stenger,"In recent years a number of bestselling books have forcefully argued that belief in God can no longer be defended on rational or empirical grounds, and that the scientific worldview has rendered obsolete the traditional beliefs held by Christianity, Judaism, and Islam. The authors of these books—Richard Dawkins, Daniel Dennett, Sam Harris, Christopher Hitchens, and Victor J. Stenger—have come to be known as the ""New Atheists."" Predictably, their works have been controversial and attracted a good deal of critical reaction. In this new book, Victor J. Stenger, whose God: The Failed Hypothesis...",9781615923441,,The New Atheism_1.jpg
Brain Wars,Mario Beauregard,"These profound questions have provoked considerable debate throughout history and have over several centuries led cultures to develop beliefs about human nature, immortality and the afterlife. Scientists working under the presumption that matter is all that exists have concluded that consciousness can be seen as simply a collection of nerve cells in the brain. That is, there is no separation between consciousness or the mind--who we are--and the function of brain. Dr. Beauregard disagrees. He asserts that multiple lines of hard evidence reveal that consciousness is transmitted and filtered ...",1443407062,,Brain Wars_2.jpg
Jonathan Swift and Philosophy,Janelle Pötzsch,"Jonathan Swift and Philosophy is the first book to analyse and interpret Swift’s writing from a philosophical angle. By placing key texts of Swift in their philosophical and cultural contexts and providing background to their history of ideas, it demonstrates how well informed Swift’s criticism of the politics, philosophy, and science of his age actually was. Moreover, it also sets straight preconceptions about Swift as ignorant about the scientific developments of his time. The authors offer insights into, and interpretations of, Swift’s political philosophy, ethics, and his philosophy of ...",9781498521543,,Jonathan Swift and Philosophy_3.jpg
On what We Know We Don't Know,Sylvain Bromberger,"In this collection of essays, Bromberger explores the centrality of questions and predicaments they create in scientific research. He discusses the nature of explanation, theory, and the foundations of linguistics.",093707389X,,
In the best of all possible worlds,"Nadler, Steven M., 1958- (NBpol)156565",No description available.,,,
Our Mathematical Universe,Max Tegmark,"Max Tegmark leads us on an astonishing journey through past, present and future, and through the physics, astronomy and mathematics that are the foundation of his work, most particularly his hypothesis that our physical reality is a mathematical structure and his theory of the ultimate multiverse. In a dazzling combination of both popular and groundbreaking science, he not only helps us grasp his often mind-boggling theories, but he also shares with us some of the often surprising triumphs and disappointments that have shaped his life as a scientist. Fascinating from first to last—this is a...",9780307744258,,Our Mathematical Universe_7.jpg
The Upside of Irrationality (Enhanced Edition),Dr. Dan Ariely,"This enhanced e-book of The Upside of Irrationality contains more than 50 minutes of video. Each chapter includes a video summary from the author as he explores the many ways in which our behavior often leads us astray in terms of our romantic relationships, our experiences in the workplace, and our temptations to cheat.",9780062070036,,The Upside of Irrationality Enhanced Edition_8.jpg
The Duck that Won the Lottery,Julian Baggini,More addictive mental workouts from the author of the bestselling The Pig that Wants to Be Eaten.,1847080871,,The Duck that Won the Lottery_9.jpg
"Deviant Logic, Fuzzy Logic",Susan Haack,"Initially proposed as rivals of classical logic, alternative logics have become increasingly important in areas such as computer science and artificial intelligence. Fuzzy logic, in particular, has motivated major technological developments in recent years. Susan Haack's Deviant Logic provided the first extended examination of the philosophical consequences of alternative logics. In this new volume, Haack includes the complete text of Deviant Logic, as well as five additional papers that expand and update it. Two of these essays critique fuzzy logic, while three augment Deviant Logic's trea...",0226311333,,
The Immortalization Commission,John Gray,"John Gray's The Immortalization Commission- The Strange Quest to Cheat Death raises vital questions about the 'truths' science can offer, the technology we are still exploiting for immortality - and exactly what it means to be human. At the heart of all human experience lies our obsession with death. For many years, we turned to religion for our answers, but at the turn of the twentieth centuries ideas from evolution and politics seemed to suggest that our lives - and afterlives - were in our own hands. These ideas would have both trivial and terrible effects, from the nightmares of H. G. W...",0141041889,,The Immortalization Commission_11.jpg
Socrates in Love,Christopher Phillips,"“[Phillips takes] philosophy out of the ivory tower and into the street.”—Los Angeles Times Christopher Phillips goes to the heart of philosophy and Socratic discourse to discover what we’re all looking for: the kind of love that makes life worthwhile. That is, love not defined only as eros, or erotic love, but in all its classical varieties. Love of neighbor, love of country, love of God, love of life, and love of wisdom—each is clarified and invigorated in Phillips’s Socratic dialogues with people from all walks of life and from all over the world.",9780393341218,,Socrates in Love_12.jpg
The Most Human Human,Brian Christian,"For the first time in history, we are interacting with computer programmes so sophisticated that we think they're human beings . . . This is a remarkable feat of human ingenuity, but what does it say about our humanity? Are we really no better at being human than the machines we've created? In this brilliantly witty and inspiring investigation, Brian Christian explores first-hand the urgent moral and practical implications of this remarkable development. Drawing on science, philosophy, literature and the arts, and touching on aspects of life as diverse as language, work, school, chess, spee...",0670920797,,The Most Human Human_14.jpg
The Meaning of Human Existence,Edward O. Wilson,"New York Times Bestseller Finalist for the National Book Award (Nonfiction) How did humanity originate and why does a species like ours exist on this planet? Do we have a special place, even a destiny in the universe? Where are we going, and perhaps, the most difficult question of all, ""Why?"" In The Meaning of Human Existence, his most philosophical work to date, Pulitzer Prize–winning biologist Edward O. Wilson grapples with these and other existential questions, examining what makes human beings supremely different from all other species. Searching for meaning in what Nietzsche once calle...",9780871404800,,The Meaning of Human Existence_15.jpg
Supernatural Gods,Jim Willis,"Exploring the collision of science, the universe and the ""supernatural"" unknown. Black Holes. Heavenly Messengers. Dark Matter. Dark Energy. Life Energies. Entanglement Theory. Psychic Connections. Quantum Physics. Parallel Universes. Alien Visitors. Supernatural Paradoxes. What does the universe hold—and hide? Where do we come from and where are we headed? What does science say when string theory and membrane theory both suggest that parallel dimensions very probably exist? When modern science estimates that the amount of “normal” matter visible to humans is less than 5% of the cosmos, and...",9781578596652,,Supernatural Gods_16.jpg
An Argument for Mind,Jerome Kagan,"In this elegantly written book, Jerome Kagan melds the history of the field of psychology during the past 50 years with the story of his own research efforts of the same period and an analysis of what he terms "" the currently rocky romance between psychology and biology. "" As Kagan unwinds his own history, he reveals the seminal events that have shaped his career and discusses how his assumptions have changed. With full appreciation for the contributions to psychology of history, philosophy, literature, and neuroscience, he approaches a wide range of fascinating topics, including: - & & & t...",0300126034,,An Argument for Mind_17.jpg
The Death of Sigmund Freud,Mark Edmundson,"An account of the final two years in the life of Sigmund Freud and their legacy describes how, in 1938, the elderly, ailing, Jewish Freud was rescued from Nazi-occupied Vienna and brought to London, where he finally found acclaim for his achievements, battled terminal cancer, and wrote his most provocative book, Moses and Monotheism.",9781582345376,,The Death of Sigmund Freud_18.jpg
Opening Skinner's Box,Lauren Slater,"Traces developments in human psychology over the course of the twentieth century, beginning with B. F. Skinner and the legend of the child raised in a box.",0393050955,,Opening Skinners Box_19.jpg
Hidden Minds,F. R. Tallis,"Hidden Minds traces our enduring fascination with the unconscious and our attempts to tame it through hypnosis, psychoanalysis, subliminal manipulation, lucid dreams, and even the principles of the quantum...",9781611455052,,Hidden Minds_20.jpg
Never Forget Me,Jill Sanderson,No description available.,0600201813,,
Panicology,"Simon Briscoe, Hugh Aldersey-Williams","Are you worried that a life of poverty awaits you in old age? Anxious that our planet is under threat from climate change? You’re not alone. But should you really be worried? This revealing book strips away the hysteria that surrounds over forty of today’s most common scare stories, from overpopulation and murder rates to fish shortages and obesity levels.",1616080485,,Panicology_23.jpg
The Poetry and Music of Science,Tom McLeish,"What human qualities are needed to make scientific discoveries, and which to make great art? Many would point to 'imagination' and 'creativity' in the second case but not the first. This book challenges the assumption that doing science is in any sense less creative than art, music or fictional writing and poetry, and treads a historical and contemporary path through common territories of the creative process. The methodological process called the 'scientific method' tells us how to test ideas when we have had them, but not how to arrive at hypotheses in the first place. Hearing the stories...",9780192518927,,The Poetry and Music of Science_24.jpg
Everyday Survival,Laurence Gonzales,"“Well-written and fascinating . . . this is the kind of book you want everyone to read.”—Cleveland Plain Dealer “Curiosity, awareness, attention,” Laurence Gonzales writes. “Those are the tools of our everyday survival. . . . We all must be scientists at heart or be victims of forces that we don’t understand.” In this fascinating account, Gonzales turns his talent for gripping narrative, knowledge of the way our minds and bodies work, and bottomless curiosity about the world to the topic of how we can best use the blessings of evolution to overcome the hazards of everyday life. Everyday Sur...",9780393069655,,Everyday Survival_25.jpg
The Thinker's Way,John Chaffee,"In the bestselling tradition of ""Emotional Intelligence, The Artist's Way"", and ""The Seven Habits of Highly Effective People"", John Chaffee offers an inspirational and practical blueprint for personal transformation. NPR sponsorship.",0316133175,,The Thinkers Way_26.jpg
"An Analysis of Daniel Kahneman's Thinking, Fast and Slow",Jacqueline Allan,"Thinking, Fast and Slow by Daniel Kahneman offers a general audience access to over six decades of insight and expertise from a Nobel Laureate in an accessible and interesting way. Kahneman’s work focuses largely on the problem of how we think, and warns of the dangers of trusting to intuition – which springs from “fast” but broad and emotional thinking – rather than engaging in the slower, harder, but surer thinking that stems from logical, deliberate decision-making. Written in a lively style that engages readers in the experiments for which Kahneman won the Nobel, Thinking, Fast and Slow...",9780429939969,,An Analysis of Daniel Kahnemans Thinking Fast and _28.jpg
The Science of Fear,Dan Gardner,"An analysis of the scientific causes of irrational fear offers insight into the brain's role in causing people to experience and react to fear, in a report that explains how heightened fear in the post-9/11 world is dangerously intersecting with biologically driven responses.",0525950621,,The Science of Fear_30.jpg
